id,code,active,title_fa,supply_category_id,leaf,product_types,created_at
9255,Clothing-Accessories,0,اکسسوری لباس,10129,1,"[""product"",""giftcard"",""no_direct_order""]",2018-09-09 17:54:39.0000000
6863,baby-food-containers,0,ظرف غذای کودک و نوزاد,10454,1,"[""product"",""giftcard"",""no_direct_order""]",2017-10-24 17:01:56.0000000
9307,women-maternity-trousers-and-jumpsuits,1,شلوار و سرهمی بارداری,8881,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-16 18:39:39.0000000
10799,corn,1,ذرت,9180,1,"[""product"",""giftcard"",""no_direct_order""]",2022-02-21 12:33:30.0000000
9716,girls-brooch,1,گل سینه دخترانه,10161,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-20 10:24:42.0000000
6147,safetyequipment,0,ایمنی و کار,NULL,1,"[""product"",""giftcard"",""no_direct_order""]",2017-01-30 08:35:27.0000000
6152,train,1,قطار,7848,1,"[""product"",""giftcard"",""no_direct_order""]",2016-11-12 15:48:34.0000000
9920,Uni-Pendants-Sets,0,ست آویز زنانه و مردانه,10113,1,"[""product"",""giftcard"",""no_direct_order""]",2019-05-20 14:53:09.0000000
9847,espresso-coffee,1,قهوه اسپرسو,9183,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-22 14:51:42.0000000
6363,peppergrinder,1,آسیاب نمک و فلفل,9154,1,"[""product"",""giftcard"",""no_direct_order""]",2016-11-10 12:31:56.0000000
4580,presenter,1,پرزنتر,10441,1,"[""product"",""giftcard"",""no_direct_order""]",2015-06-13 08:48:48.0000000
10292,girls-suit,0,کت و شلوار دخترانه,10342,1,"[""product"",""giftcard"",""no_direct_order""]",2021-02-21 15:05:53.0000000
10035,net,1,توری,9051,1,"[""product"",""giftcard"",""no_direct_order""]",2019-08-17 11:06:42.0000000
6435,wallet,1,کیف پول سفری,9127,1,"[""product"",""giftcard"",""no_direct_order""]",2018-07-07 17:09:18.0000000
6657,body-care,1,بهداشت و مراقبت بدن,NULL,0,NULL,2018-06-12 17:02:40.0000000
9294,women-dresses,1,پیراهن و لباس مجلسی زنانه,8849,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-16 18:07:01.0000000
3,laptop,1,لپ تاپ,NULL,0,NULL,2017-08-07 15:49:34.0000000
9612,kids-boots,1,بوت نوزاد,10122,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-20 09:29:35.0000000
9397,women-gold-watch-pendant,1,آویز ساعت طلا زنانه,10067,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-17 16:43:50.0000000
9728,girls-scarves,1,شال و روسری دخترانه,10163,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-20 10:28:49.0000000
6784,promenade-and-travel-accessories,1,گردش و سفر,NULL,0,NULL,2015-10-10 18:33:53.0000000
6760,health-and-bathroom-tools,1,بهداشت و حمام,NULL,0,NULL,2015-10-10 18:33:51.0000000
8500,camshaft-and-crankshaft,1,میل لنگ و میل بادامک,8641,1,"[""product"",""giftcard"",""no_direct_order""]",2017-08-20 10:11:02.0000000
9267,other-store-equipment,1,سایر تجهیزات فروشگاهی,10441,1,"[""product"",""giftcard"",""no_direct_order""]",2018-09-26 13:54:49.0000000
74,handsfree,0,هندزفری,10305,1,"[""product"",""giftcard"",""no_direct_order""]",2018-04-07 10:34:55.0000000
9796,boys-sandals,1,صندل پسرانه,10184,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-20 11:04:17.0000000
9518,men-silver-jewelry-sets,1,ست زیورآلات نقره مردانه,10101,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-17 18:31:25.0000000
9492,men-gifts-sets,1,ست هدیه مردانه,10094,1,"[""product"",""giftcard"",""no_direct_order""]",2018-10-17 18:21:20.0000000
10151,fresh-sweet,1,شیرینی تر و خامه‌ای,10315,1,"[""product""]",2021-01-04 11:14:34.0000000
6540,clear-gel-deodorant,1,ژل شفاف ضد تعریق,9148,1,"[""product"",""giftcard"",""no_direct_order""]",2015-06-07 11:47:13.0000000
8266,decorations-for-gardening,1,لوازم تزئینی باغبانی,9149,1,"[""product"",""giftcard"",""no_direct_order""]",2016-07-26 12:52:20.0000000
8516,connecting-rod,1,شاتون,8641,1,"[""product"",""giftcard"",""no_direct_order""]",2018-07-10 09:37:13.0000000
8282,hood,1,هود,10460,1,"[""product"",""giftcard"",""no_direct_order""]",2016-11-14 12:55:49.0000000
10346,local-caviar,1,خاویار ارگانیک,10360,1,"[""product""]",2021-03-13 14:18:29.0000000
10165,children-accessories,0,اکسسوری بچگانه,NULL,0,NULL,2021-01-31 14:03:04.0000000
6062,office-accessories,1,لوازم جانبی اداری,NULL,0,NULL,2015-06-13 09:13:07.0000000
10937,baby-check-pregnancy-test,0,بیبی چک و تست بارداری,10455,1,"[""product"",""giftcard"",""no_direct_order""]",2022-03-02 13:20:33.0000000
6757,accessories-packing,1,لوازم بسته بندی,9149,1,"[""product"",""giftcard"",""no_direct_order""]",2017-12-12 14:01:17.0000000
9748,boys-clothing,1,پسرانه,NULL,0,NULL,2018-10-20 10:36:30.0000000
8729,water-heater,1,آبگرمکن,10459,1,"[""product"",""giftcard"",""no_direct_order""]",2018-02-05 10:36:46.0000000
6825,men-socks,1,جوراب ورزشی مردانه,10298,1,"[""product""]",2015-10-17 14:50:06.0000000
10299,maternity-manteau,0,مانتو بارداری,10334,1,"[""product"",""giftcard"",""no_direct_order""]",2021-02-22 11:14:07.0000000
6510,eye-and-eyebrow-accessories,1,برس ها و تجهیزات آرایشی چشم و ابرو,7166,1,"[""product"",""giftcard"",""no_direct_order""]",2015-05-04 18:34:00.0000000
8501,cylinder-head,1,سرسیلندر,8641,1,"[""product"",""giftcard"",""no_direct_order""]",2017-05-30 16:00:05.0000000
6524,percussion-instruments,1,سازهای کوبه‌ای,NULL,0,NULL,2016-11-14 13:10:29.0000000
6597,nail-diamonds,1,آویز و نگین ناخن,9139,1,"[""product"",""giftcard"",""no_direct_order""]",2015-05-30 10:51:29.0000000
6253,ironingac,1,لوازم اتو,NULL,0,NULL,2016-11-14 10:42:56.0000000
8694,ups-battery,1,باتری UPS,10437,1,"[""product"",""giftcard"",""no_direct_order""]",2017-12-25 11:34:25.0000000
10610,flavored-yogurt,1,ماست طعم‌ دار,10017,1,"[""product"",""giftcard"",""no_direct_order""]",2022-01-01 16:09:05.0000000
