id,active,status,moderation_status,category_id,title_fa,description,brand_id,created_at
1916002,1,marketable,approved,9470,تیشرت مردانه طرح Tyrion Lannister کد EML565,,719,2019-08-25 00:00:20.0000000
5103740,1,marketable,approved,77,برچسب پوششی ماهوت مدل Gholamreza Takhti مناسب برای گوشی موبایل اچ تی سی One ME,این محصول برپوش طرح مدل غلامرضا تختی (Gholamreza Takhti) از سری شخصیت ها است که توسط دپارتمان طراحی ماهوت طراحی شده است.در توضیح ساختار فنی برپوش طرح می‌توان گفت تصویر بر روی لایه اولِ برپوش، مستقیما با یک تکنیک منحصربفرد چاپ می‌شود. همچنین بخش چسبنده دارای تکنولوژی Bubble Free است که نصب را آسان و چسبندگی را حداکثر می‌کند و هیچ اثری از چسب، بر روی دستگاه هوشمند باقی نمی‌گذارد. در لایه دوم یک ورق لمینت گرم، با دستگا‌ه‌های مخصوص در دمای بالا بر روی لایه اول اعمال می شود تا مقاومت در برابر مواد شیمیایی و خط و خش حداکثر شود. همچنین برپوش طرح به طور کامل در برابر آب مقاوم است. نام دیگر این محصول برپوش است که نوعي استيكر(برچسب) چندلايه است و به منظور پوشش سطح پشت گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را پوشش نمي‌دهد. هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. لازم به ذکر است که برپوش با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. همچنین جنس برپوش از پليكربنات است و اين ماده تاثير قابل توجهي بر روي آنتن دهي و يا دفع حرارت گوشي هوشمند نخواهد داشت و اگر دستورالعمل نصب و جدا كردن به شيوه صحيح اجرا شود با توجه به ساختار چندلايه آن مي‌توان برپوش را چندين بار استفاده كرد.,5288,2021-05-07 17:08:50.0000000
8240844,1,marketable,approved,9543,جاکلیدی پرمانه طرح تو ایس کد pmy.1427,جا کلیدی های یک رو پرمانه از زیره پلاستیکی درجه یک ساخته شده و دارای طلق شفاف و ضد آب میباشد و تمام مراحل از ایده تا چاپ و بسته بندی با رعایت نکات کیفی و همچنین بسته بندی مناسب و شیک انجام میشوند از این رو محصولی سبک و زیبا جهت هدیه دادن و استفاده شخصی هستند,719,2022-04-10 20:06:52.0000000
8425434,1,marketable,approved,9277,پیکسل خندالو مدل رزی بلک پینک کد 14422,پیکسل خندالو با روکش سلفون حرارتی مات مخملی ضدخش و قطعه پشتی رنگی تولید شده است. قطعات پلاستیکی پشت پیکسل با سوزن یک تکه ثابت و بدون لغزش و جا به جایی، ایستایی بسیار بهتری نسبت به پشتی فلزی پیکسل دارند که این مهم در تولید این محصول نیز رعایت شده است. چاپ پیکسل نیز با دستگاه های استاندارد و با بهترین سطح کیفی صورت گرفته و طرح با شفافیتی مثال زدنی و با سلفونی بدون شکست نور بر روی پیکسل نقش بسته است. همچنین بسته بندی جذاب و مینیمال پیکسل ها، آنها را مناسب هدیه کرده است.,30353,2022-05-02 16:42:07.0000000
1916322,1,marketable,approved,9912,تمبر یادگاری سری کارتونی مدل GOOFI کد 0094,,719,2019-08-25 09:59:48.0000000
9570220,1,marketable,in_review,6042,عروسک مدل هدیه کد S1,امروزه لوازم تزئینی و دکوراتیو عضو جدایی ناپذیری از منازل شده است که به دلایل زیبایی شناختی تاثیر بسزایی در روحیه و شادی افراد داخل منزل میتواند بگذارد.عروسک مدل پرستار میتواند به عنوان دکور و یا یک هدیه دلنشین و زیبا مورد استفاده قرار گیرد.جنس پایه ی آن از فلز و بدنه آن پلاستیک میباشد و روی آن پارچه به کار رفته است.,719,2022-10-02 17:01:18.0000000
6313494,1,marketable,approved,77,برچسب پوششی ماهوت مدل GBFL-KIA مناسب برای گوشی موبایل سامسونگ Galaxy A12,این محصول برپوش چرم طبیعی ماهوت است که بر روی آن نشان کمپانی کیا (KIA) بصورت اختصاصی حکاکی شده است.کیا موتورز یک شرکت خودروسازی کره‌ای است، که به‌عنوان زیرمجموعه‌ای از هیوندای محسوب می‌شود و در سال 2013 با تولید 2٫75 میلیون دستگاه خودرو، دومین خودروساز کره جنوبی شناخته شد. شرکت کیا موتورز، قدیمی‌ترین خودروساز کره جنوبی محسوب می‌شود. کیا موتورز هم‌اکنون دارای 8 کارخانه تولیدی است، که در کشورهای ایالات متحده آمریکا، چین، کره جنوبی، ویتنام و اسلواکی مستقر می‌باشند. دفتر مرکزی این شرکت در شهر سئول قرار دارد و سهام آن در بازار بورس کره دادوستد می‌شود. شرکت هیوندای موتور با در اختیار داشتن 33٫99٪ درصد از سهام کیا موتورز، بزرگترین سهام‌دار آن به‌شمار می‌آید. استفاده از این چرم، موجب افزایش زیبایی آن می‌شود. خراش برداشتن و ضربه خوردن برپوش باعث ایجاد زخم‌های مشخص بر روی سطح چرم می‌شود و با گذر زمانی معادل 24 الی 48 ساعت و استفاده از گوشی یا تبلت هوشمند در این مدت، این خطوط، محو می‌شوند و سطح چرم ظاهری کهنه و کارکرده پیدا می‌کند. از خواص منحصربفرد چرم طبیعی؛ تعادل دمایی است. هنگامی که گوشی هوشمند داغ می‌شود، چرم طبیعی با منافذی که در سطح خود دارد، دمای برپوش را متعادل کرده و از انتقال آن به دست جلوگیری می‌کند. لبه‌های برپوش با دقت پرداخت می‌شود و در این روش تیزی لبه از بین می‌رود و سپس با رنگ مخصوص رنگ آمیزی می‌شود. این فرآیند، ارگونومی محصول را افزایش می‌دهد. نام دیگر این محصول برپوش است که نوعي استيكر(برچسب) چندلايه است و به منظور پوشش سطح پشت گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را پوشش نمي‌دهد. هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. شایان ذکر است که برپوش با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. جنس برپوش از چرم طبیعی گاوی یا بزی است و اگر دستورالعمل نصب و جدا كردن به شيوه صحيح اجرا شود با توجه به ساختار چندلايه آن مي‌توان برپوش را چندين بار استفاده كرد.,5288,2021-09-03 15:14:39.0000000
10393900,1,marketable,approved,6946,تابلو بکلیت طرح آجیل و خشکبار بادام هندی مدل W-10242,تابلو یکی از بهترین انتخابها برای تغییر دکوراسیون منزل می‌باشد. گروه تولیدی بکلیت با استفاده از بهترین مواد اولیه جهت ساخت اینگونه تابلو ها از قبیل کیفیت بالای چاپ، انتخاب مرغوب ترین نوع پروفیل PVC کوشیده است تا تابلوهایی با کیفیت بالا با برند بکلیت را تولید و به مشتریان ارائه دهد. پروفیل استفاده شده در این تابلو ها از نوع کد 215 شرکت آریو پلاست، یکی از بهترین تولید کنندگان پروفیل های پی وی سی در ایران می‌باشد که نمای روبروی آن 2CM و نمای کناری آن نیز 2CM می‌باشد. چاپ استفاده شده در این تابلو ها از نوع پلات با ماندگاری بالا بر روی کاغذ PP مات گرید1 و ضد آب می‌باشد. همچنین در پشت تابلوها از مقوا سه لایه یا تخته MDF سه میلی متری استفاده می‌گردد.این تابلو ها شیشه دارند و در سایز های کوچک از شیشه 2 میلیمتری و در سایز های بزرگ از شیشه 3 میلیمتری استفاده می شود.,31924,2023-01-09 14:58:02.0000000
5888475,1,marketable,approved,76," محافظ صفحه نمایش مات برنارد مدل MTB-01 مناسب برای گوشی موبایل نوکیا 2.4",,719,2021-07-27 10:30:35.0000000
8169592,1,marketable,approved,6085,ماشین اصلاح موی صورت مدیاسانا مدل Smart,"ریش تراش مدیاسانا مدل Smart برای کسانی که هر روز اصلاح می کنند مفید است.توصیه می شود قبل از تراشیدن صفر، ریش خود را کوتاه کنید.عملکرد محصول در صورت استفاده روی موهای بلند کاهش می یابد
",719,2022-03-30 16:42:42.0000000
